date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-25,AG,0,685845,0,0,0,0,13.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-26,AG,0,685845,0,0,0,0,22.29,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-27,AG,0,685845,0,0,0,0,32,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-28,AG,96,685845,96,0.01,0,0.01,32,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-29,AG,60,685845,156,0.01,0,0.02,32.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-30,AG,68,685845,224,0.01,0,0.03,32.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2020-12-31,AG,0,685845,224,0,0,0.03,32.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-01,AG,1,685845,225,0,0,0.03,18.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-02,AG,0,685845,225,0,0.01,0.03,75,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-03,AG,0,685845,225,0,0.02,0.03,132.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-04,AG,1,685845,226,0,0.04,0.03,235.86,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-05,AG,455,685845,681,0.07,0.05,0.1,327.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-06,AG,471,685845,1152,0.07,0.05,0.17,358.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-07,AG,723,685845,1875,0.11,0.05,0.27,358.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-08,AG,643,685845,2518,0.09,0.06,0.37,428.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-09,AG,218,685845,2736,0.03,0.07,0.4,481.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-10,AG,0,685845,2736,0,0.07,0.4,514.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-11,AG,490,685845,3226,0.07,0.07,0.47,510.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-12,AG,826,685845,4052,0.12,0.07,0.59,496,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-13,AG,701,685845,4753,0.1,0.07,0.69,496.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-14,AG,697,685845,5450,0.1,0.07,0.79,496.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-15,AG,540,685845,5990,0.08,0.08,0.87,547.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-16,AG,221,685845,6211,0.03,0.08,0.91,554.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-17,AG,0,685845,6211,0,0.09,0.91,648,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-18,AG,845,685845,7056,0.12,0.12,1.03,794.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-19,AG,877,685845,7933,0.13,0.13,1.16,884.86,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-20,AG,1356,685845,9289,0.2,0.13,1.35,870.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-21,AG,1724,685845,11013,0.25,0.13,1.61,870.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-22,AG,1171,685845,12184,0.17,0.14,1.78,926.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-23,AG,121,685845,12305,0.02,0.15,1.79,1016,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-24,AG,0,685845,12305,0,0.14,1.79,984.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-25,AG,1234,685845,13539,0.18,0.14,1.97,973.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-26,AG,1506,685845,15045,0.22,0.13,2.19,916.86,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-27,AG,1137,685845,16182,0.17,0.13,2.36,899.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-28,AG,1646,685845,17828,0.24,0.13,2.6,899.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-29,AG,774,685845,18602,0.11,0.12,2.71,838.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-30,AG,0,685845,18602,0,0.13,2.71,899,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-01-31,AG,0,685845,18602,0,0.15,2.71,1024,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-01,AG,808,685845,19410,0.12,0.15,2.83,1068,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-02,AG,1928,685845,21338,0.28,0.18,3.11,1209.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-03,AG,2012,685845,23350,0.29,0.18,3.4,1234.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-04,AG,1954,685845,25304,0.28,0.18,3.69,1234.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-05,AG,1765,685845,27069,0.26,0.19,3.95,1283.86,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-06,AG,172,685845,27241,0.03,0.18,3.97,1224.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-07,AG,0,685845,27241,0,0.17,3.97,1172.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-08,AG,1156,685845,28397,0.17,0.16,4.14,1120.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-09,AG,1512,685845,29909,0.22,0.16,4.36,1096,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-10,AG,1650,685845,31559,0.24,0.16,4.6,1096.29,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-11,AG,1589,685845,33148,0.23,0.16,4.83,1096.29,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-12,AG,1593,685845,34741,0.23,0.17,5.07,1161.29,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-13,AG,174,685845,34915,0.03,0.17,5.09,1178.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-14,AG,0,685845,34915,0,0.19,5.09,1271.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-15,AG,1611,685845,36526,0.23,0.2,5.33,1359.29,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-16,AG,1632,685845,38158,0.24,0.21,5.56,1406.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-17,AG,2302,685845,40460,0.34,0.23,5.9,1582.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-18,AG,2203,685845,42663,0.32,0.23,6.22,1583,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-19,AG,1925,685845,44588,0.28,0.25,6.5,1673.86,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-20,AG,1406,685845,45994,0.21,0.27,6.71,1847.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-21,AG,2,685845,45996,0,0.28,6.71,1906.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-22,AG,2247,685845,48243,0.33,0.3,7.03,2050.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-23,AG,2845,685845,51088,0.41,0.32,7.45,2188,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-24,AG,2717,685845,53805,0.4,0.31,7.85,2124.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-25,AG,3211,685845,57016,0.47,0.31,8.31,2124.43,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-26,AG,2888,685845,59904,0.42,0.31,8.73,2105.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-27,AG,962,685845,60866,0.14,0.3,8.87,2075.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-02-28,AG,1,685845,60867,0,0.31,8.87,2118.14,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-03-01,AG,2115,685845,62982,0.31,0.3,9.18,2044.86,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-03-02,AG,2632,685845,65614,0.38,0.3,9.57,2048.71,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
2021-03-03,AG,3018,685845,68632,0.44,0.29,10.01,1957.57,COVID19VaccDosesAdministered,2021-06-11_09-30-57,detailed
